,Date,Prediction
0,2013-01-07,3884.6597
1,2013-01-08,3685.9417
2,2013-01-09,4343.509
3,2013-01-10,4343.509
4,2013-01-11,4330.6904
5,2013-01-12,2646.5015
6,2013-01-13,2502.036
